sku,title,category,brand,model,retail_price_inr,wholesale_price_inr,moq,stock,rating,image_prompt,image_alt,animation_treatment,poc_only,source_note
BE-0016,NovaTek 5G Smartphone GSM-1016,Mobiles,NovaTek,GSM-1016,12449,10210,1,32,4.2,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek 5G Smartphone, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0017,Cobalt Feature Phone FEA-1017,Mobiles,Cobalt,FEA-1017,7399,6070,1,39,4.3,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Feature Phone, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0018,Astra Rugged Smartphone RUG-1018,Mobiles,Astra,RUG-1018,8349,6850,1,46,4.4,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Rugged Smartphone, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0019,Orbis 5G Smartphone GSM-1019,Mobiles,Orbis,GSM-1019,9299,7630,1,53,4.5,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis 5G Smartphone, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0020,IndusTech Feature Phone FEA-1020,Mobiles,IndusTech,FEA-1020,9249,7580,1,60,4.6,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Feature Phone, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0021,NovaTek Rugged Smartphone RUG-1021,Mobiles,NovaTek,RUG-1021,10199,8360,1,67,4.7,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Rugged Smartphone, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0022,Cobalt 5G Smartphone GSM-1022,Mobiles,Cobalt,GSM-1022,11149,9140,1,74,4.8,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt 5G Smartphone, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0023,Astra Feature Phone FEA-1023,Mobiles,Astra,FEA-1023,12099,9920,1,81,4.9,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Feature Phone, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0024,Orbis Rugged Smartphone RUG-1024,Mobiles,Orbis,RUG-1024,13049,10700,1,5,3.8,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Rugged Smartphone, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0025,IndusTech 5G Smartphone GSM-1025,Mobiles,IndusTech,GSM-1025,6999,5740,1,12,3.9,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech 5G Smartphone, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0026,NovaTek Feature Phone FEA-1026,Mobiles,NovaTek,FEA-1026,7949,6520,1,19,4.0,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Feature Phone, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0027,Cobalt Rugged Smartphone RUG-1027,Mobiles,Cobalt,RUG-1027,8899,7300,1,26,4.1,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Rugged Smartphone, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0028,Astra 5G Smartphone GSM-1028,Mobiles,Astra,GSM-1028,9849,8080,1,33,4.2,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra 5G Smartphone, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0029,Orbis Feature Phone FEA-1029,Mobiles,Orbis,FEA-1029,10799,8860,1,40,4.3,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Feature Phone, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0030,IndusTech Rugged Smartphone RUG-1030,Mobiles,IndusTech,RUG-1030,10749,8810,1,47,4.4,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Rugged Smartphone, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0031,NovaTek 5G Smartphone GSM-1031,Mobiles,NovaTek,GSM-1031,11699,9590,1,54,4.5,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek 5G Smartphone, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0032,Cobalt Feature Phone FEA-1032,Mobiles,Cobalt,FEA-1032,12649,10370,1,61,4.6,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Feature Phone, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0033,IndusTech Everyday Laptop EVE-1033,Laptops & Tablets,IndusTech,EVE-1033,19599,16070,1,68,4.7,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Everyday Laptop, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0034,NovaTek Business Laptop BUS-1034,Laptops & Tablets,NovaTek,BUS-1034,20549,16850,1,75,4.8,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Business Laptop, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0035,Cobalt Gaming Laptop GAM-1035,Laptops & Tablets,Cobalt,GAM-1035,20499,16810,1,82,4.9,"premium studio product photograph of a gaming laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Gaming Laptop, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0036,Astra Android Tablet AND-1036,Laptops & Tablets,Astra,AND-1036,21449,17590,1,6,3.8,"premium studio product photograph of a android tablet, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Android Tablet, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0037,Orbis Everyday Laptop EVE-1037,Laptops & Tablets,Orbis,EVE-1037,22399,18370,1,13,3.9,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Everyday Laptop, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0038,IndusTech Business Laptop BUS-1038,Laptops & Tablets,IndusTech,BUS-1038,23349,19150,1,20,4.0,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Business Laptop, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0039,NovaTek Gaming Laptop GAM-1039,Laptops & Tablets,NovaTek,GAM-1039,24299,19930,1,27,4.1,"premium studio product photograph of a gaming laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Gaming Laptop, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0040,Cobalt Android Tablet AND-1040,Laptops & Tablets,Cobalt,AND-1040,24249,19880,1,34,4.2,"premium studio product photograph of a android tablet, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Android Tablet, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0041,Astra Everyday Laptop EVE-1041,Laptops & Tablets,Astra,EVE-1041,19199,15740,1,41,4.3,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Everyday Laptop, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0042,Orbis Business Laptop BUS-1042,Laptops & Tablets,Orbis,BUS-1042,20149,16520,1,48,4.4,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Business Laptop, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0043,IndusTech Gaming Laptop GAM-1043,Laptops & Tablets,IndusTech,GAM-1043,21099,17300,1,55,4.5,"premium studio product photograph of a gaming laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Gaming Laptop, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0044,NovaTek Android Tablet AND-1044,Laptops & Tablets,NovaTek,AND-1044,22049,18080,1,62,4.6,"premium studio product photograph of a android tablet, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Android Tablet, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0045,Cobalt Everyday Laptop EVE-1045,Laptops & Tablets,Cobalt,EVE-1045,21999,18040,1,69,4.7,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Everyday Laptop, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0046,Astra Business Laptop BUS-1046,Laptops & Tablets,Astra,BUS-1046,22949,18820,1,76,4.8,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Business Laptop, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0047,Orbis Gaming Laptop GAM-1047,Laptops & Tablets,Orbis,GAM-1047,23899,19600,1,83,4.9,"premium studio product photograph of a gaming laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Gaming Laptop, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0048,IndusTech Android Tablet AND-1048,Laptops & Tablets,IndusTech,AND-1048,24849,20380,1,7,3.8,"premium studio product photograph of a android tablet, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Android Tablet, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0049,NovaTek Everyday Laptop EVE-1049,Laptops & Tablets,NovaTek,EVE-1049,19799,16240,1,14,3.9,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Everyday Laptop, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0050,Cobalt Business Laptop BUS-1050,Laptops & Tablets,Cobalt,BUS-1050,19749,16190,1,21,4.0,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Business Laptop, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0051,Astra Gaming Laptop GAM-1051,Laptops & Tablets,Astra,GAM-1051,20699,16970,1,28,4.1,"premium studio product photograph of a gaming laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Gaming Laptop, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0052,Orbis Android Tablet AND-1052,Laptops & Tablets,Orbis,AND-1052,21649,17750,1,35,4.2,"premium studio product photograph of a android tablet, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Android Tablet, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0053,IndusTech Everyday Laptop EVE-1053,Laptops & Tablets,IndusTech,EVE-1053,22599,18530,1,42,4.3,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Everyday Laptop, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0054,NovaTek Business Laptop BUS-1054,Laptops & Tablets,NovaTek,BUS-1054,23549,19310,1,49,4.4,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Business Laptop, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0055,Cobalt Gaming Laptop GAM-1055,Laptops & Tablets,Cobalt,GAM-1055,23499,19270,1,56,4.5,"premium studio product photograph of a gaming laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Gaming Laptop, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0056,Astra Android Tablet AND-1056,Laptops & Tablets,Astra,AND-1056,24449,20050,1,63,4.6,"premium studio product photograph of a android tablet, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Android Tablet, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0057,Orbis Everyday Laptop EVE-1057,Laptops & Tablets,Orbis,EVE-1057,19399,15910,1,70,4.7,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Everyday Laptop, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0058,IndusTech Business Laptop BUS-1058,Laptops & Tablets,IndusTech,BUS-1058,20349,16690,1,77,4.8,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Business Laptop, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0059,NovaTek Gaming Laptop GAM-1059,Laptops & Tablets,NovaTek,GAM-1059,21299,17470,1,84,4.9,"premium studio product photograph of a gaming laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Gaming Laptop, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0060,Cobalt Android Tablet AND-1060,Laptops & Tablets,Cobalt,AND-1060,21249,17420,1,8,3.8,"premium studio product photograph of a android tablet, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Android Tablet, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0061,Astra Everyday Laptop EVE-1061,Laptops & Tablets,Astra,EVE-1061,22199,18200,1,15,3.9,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Everyday Laptop, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0062,Orbis Business Laptop BUS-1062,Laptops & Tablets,Orbis,BUS-1062,23149,18980,1,22,4.0,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Business Laptop, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0063,IndusTech Gaming Laptop GAM-1063,Laptops & Tablets,IndusTech,GAM-1063,24099,19760,1,29,4.1,"premium studio product photograph of a gaming laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Gaming Laptop, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0064,NovaTek Android Tablet AND-1064,Laptops & Tablets,NovaTek,AND-1064,25049,20540,1,36,4.2,"premium studio product photograph of a android tablet, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Android Tablet, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0065,Cobalt Everyday Laptop EVE-1065,Laptops & Tablets,Cobalt,EVE-1065,18999,15580,1,43,4.3,"premium studio product photograph of a everyday laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Everyday Laptop, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0066,Astra Business Laptop BUS-1066,Laptops & Tablets,Astra,BUS-1066,19949,16360,1,50,4.4,"premium studio product photograph of a business laptop, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Business Laptop, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0067,Astra Desktop PC DES-1067,Desktop & Components,Astra,DES-1067,1899,1560,1,57,4.5,"premium studio product photograph of a desktop pc, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Desktop PC, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0068,Orbis Motherboard MOT-1068,Desktop & Components,Orbis,MOT-1068,2849,2340,1,64,4.6,"premium studio product photograph of a motherboard, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Motherboard, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0069,IndusTech Graphics Card GRA-1069,Desktop & Components,IndusTech,GRA-1069,3799,3120,1,71,4.7,"premium studio product photograph of a graphics card, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Graphics Card, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0070,NovaTek NVMe SSD NVM-1070,Desktop & Components,NovaTek,NVM-1070,3749,3070,1,78,4.8,"premium studio product photograph of a nvme ssd, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek NVMe SSD, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0071,Cobalt DDR5 RAM DDR-1071,Desktop & Components,Cobalt,DDR-1071,4699,3850,1,85,4.9,"premium studio product photograph of a ddr5 ram, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt DDR5 RAM, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0072,Astra Power Supply POW-1072,Desktop & Components,Astra,POW-1072,5649,4630,1,9,3.8,"premium studio product photograph of a power supply, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Power Supply, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0073,Orbis Desktop PC DES-1073,Desktop & Components,Orbis,DES-1073,6599,5410,1,16,3.9,"premium studio product photograph of a desktop pc, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Desktop PC, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0074,IndusTech Motherboard MOT-1074,Desktop & Components,IndusTech,MOT-1074,7549,6190,1,23,4.0,"premium studio product photograph of a motherboard, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Motherboard, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0075,NovaTek Graphics Card GRA-1075,Desktop & Components,NovaTek,GRA-1075,1499,1230,1,30,4.1,"premium studio product photograph of a graphics card, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Graphics Card, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0076,Cobalt NVMe SSD NVM-1076,Desktop & Components,Cobalt,NVM-1076,2449,2010,1,37,4.2,"premium studio product photograph of a nvme ssd, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt NVMe SSD, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0077,Astra DDR5 RAM DDR-1077,Desktop & Components,Astra,DDR-1077,3399,2790,1,44,4.3,"premium studio product photograph of a ddr5 ram, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra DDR5 RAM, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0078,Orbis Power Supply POW-1078,Desktop & Components,Orbis,POW-1078,4349,3570,1,51,4.4,"premium studio product photograph of a power supply, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Power Supply, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0079,IndusTech Desktop PC DES-1079,Desktop & Components,IndusTech,DES-1079,5299,4350,1,58,4.5,"premium studio product photograph of a desktop pc, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Desktop PC, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0080,NovaTek Motherboard MOT-1080,Desktop & Components,NovaTek,MOT-1080,5249,4300,1,65,4.6,"premium studio product photograph of a motherboard, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Motherboard, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0081,Cobalt Graphics Card GRA-1081,Desktop & Components,Cobalt,GRA-1081,6199,5080,1,72,4.7,"premium studio product photograph of a graphics card, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Graphics Card, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
